date,name,stage,startTime,endTime
04/22,Harry Styles,Coachella,11:35 PM,12:30 AM
04/22,Daniel Caesar,Coachella,10:10 PM,10:55 PM
04/22,Lil Baby,Coachella,8:25 PM,9:10 PM
04/22,Grupo Firme,Coachella,7:10 PM,8:00 PM
04/22,Anitta,Coachella,6:00 PM,6:45 PM
04/22,Ari Lennox,Coachella,4:50 PM,5:35 PM
04/22,MIKA,Coachella,3:40 PM,4:25 PM
04/22,Princess Nokia,Coachella,2:35 PM,3:15 PM
04/22,King Gizzard and the Lizard Wizard,Outdoor,12:00 AM,1:00 AM
04/22,Louis the Child,Outdoor,10:40 PM,11:35 PM
04/22,Phoebe Bridgers,Outdoor,9:10 PM,10:10 PM
04/22,Madeon,Outdoor,7:40 PM,8:35 PM
04/22,NIKI,Outdoor,6:25 PM,7:10 PM
04/22,Omar Apollo,Outdoor,5:05 PM,5:50 PM
04/22,Bishop Briggs,Outdoor,4:00 PM,4:45 PM
04/22,The Hu,Outdoor,2:55 PM,3:35 PM
04/22,Yimbo,Outdoor,2:00 PM,2:30 PM
04/22,Ela Minus,Sonora,10:10 PM,10:50 PM
04/22,Amyl & the Sniffers,Sonora,9:00 PM,9:40 PM
04/22,PUP,Sonora,7:20 PM,8:00 PM
04/22,Spiritualized,Sonora,5:40 PM,6:40 PM
04/22,The Chats,Sonora,4:35 PM,5:10 PM
04/22,Code Orange,Sonora,3:30 PM,4:10 PM
04/22,Jean Dawson,Sonora,2:30 PM,3:05 PM
04/22,Giselle Woo & the Night Owls,Sonora,1:40 PM,2:10 PM
04/22,Jim Smith,Sonora,12:00 PM,1:40 PM
04/22,BADBADNOTGOOD,Gobi,12:05 AM, 1:00 AM
04/22,EPIK HIGH,Gobi,10:45 PM,11:35 PM
04/22,The Avalanches,Gobi,9:25 PM,10:15 PM
04/22,TokiMonsta,Gobi,8:10 PM,9:00 PM
04/22,slowthai,Gobi,7:00 PM,7:45 PM
04/22,The Marías,Gobi,5:50 PM,6:35 PM
04/22,Role Model,Gobi,4:35 PM,5:20 PM
04/22,The Regrettes,Gobi,3:20 PM,4:05 PM
04/22,Arooj Aftab,Gobi,2:15 PM,2:55 PM
04/22,Torres Martinez,Gobi,1:45 PM,2:00 PM
04/22,Lane 8,Mojave,11:45 PM,1:00 AM
04/22,Snoh Aalegra,Mojave,10:35 PM,11:20 PM
04/22,Pink Sweat$,Mojave,9:25 PM,10:10 PM
04/22,IDLES,Mojave,8:10 PM,9:00 PM
04/22,Arcade Fire,Mojave,6:45 PM,7:45 PM
04/22,Carly Rae Jepsen,Mojave,5:30 PM,6:15 PM
04/22,Still Woozy,Mojave,4:25 PM,5:00 PM
04/22,Raveena,Mojave,3:20 PM,4:00 PM
04/22,Lawrence,Mojave,2:25 PM,2:55 PM
04/22,MEUTE,Mojave,1:20 PM,2:00 PM
04/22,SLANDER,Sahara,11:55 PM,1:00 AM
04/22,Big Sean,Sahara,10:45 PM,11:30 PM
04/22,Baby Keem,Sahara,9:35 PM,10:20 PM
04/22,Black Coffee,Sahara,8:10 PM,9:10 PM
04/22,Cordae,Sahara,7:05 PM,7:50 PM
04/22,City Girls,Sahara,6:00 PM,6:45 PM
04/22,Dom Dolla,Sahara,4:35 PM,5:35 PM
04/22,John Summit,Sahara,3:35 PM,2:50 PM
04/22,Lost Kings,Sahara,2:50 PM,3:35 PM
04/22,GG Magree,Sahara,2:05 PM,2:50 PM
04/22,Venessa Michaels,Sahara,1:25 PM,1:55 PM
04/22,ARTBAT,Yuma,11:15 PM,12:00 AM
04/22,The Martinez Brothers,Yuma,9:45 PM,11:15 PM
04/22,Peggy Gou,Yuma,8:15 PM,9:45 PM
04/22,Damian Lazarus,Yuma,6:45 PM,8:15 PM
04/22,Daphni,Yuma,5:30 PM,6:45 PM
04/22,Purple Disco Machine,Yuma,4:15 PM,5:30 PM
04/22,Jayda G,Yuma,3:00 PM,4:15 PM
04/22,Logic1000,Yuma,2:00 PM,3:00 PM
04/22,SOHMI,Yuma,1:00 PM,2:00 PM
04/22,Dear Humans,Yuma,12:00 PM,1:00 PM
