date,name,startTime,endTime,stage
08/11,Taper's Choice,12:00:00 PM,12:45:00 PM,Sutro
08/11,King Isis,12:00:00 PM,12:40:00 PM,Panhandle
08/11,La Doña,12:10:00 PM,12:55:00 PM,Lands End
08/11,Cuffin' All Thangs R&B Party ft. AMP & Trixamillion,12:15:00 PM,1:45:00 PM,Cocktail Magic
08/11,MISS DRE,12:35:00 PM,2:05:00 PM,SOMA Tent
08/11,Matt Hansen,12:45:00 PM,1:30:00 PM,Twin Peaks
08/11,Sadgayboi,12:45 PM,2:00:00 PM,Dolores
08/11,Yaya Bey,12:55:00 PM,1:25:00 PM,The Music Den by Toyota
08/11,Nation of Language,1:15:00 PM,2:00:00 PM,Sutro
08/11,The Dip,1:25:00 PM,2:15:00 PM,Lands End
08/11,Izzy Heltai,1:30:00 PM,2:10:00 PM,Panhandle
08/11,nonsuit,2:00:00 PM,3:00:00 PM,Dolores
08/11,NALA,2:05:00 PM,3:35:00 PM,SOMA Tent
08/11,Evan Giia,2:15:00 PM,3:00:00 PM,Twin Peaks
08/11,Westend,2:15:00 PM,2:45:00 PM,The Music Den by Toyota
08/11,Ethel Cain,2:30:00 PM,3:20:00 PM,Sutro
08/11,Raveena,2:45:00 PM,3:35:00 PM,Lands End
08/11,Motel Club presents Let's Go Disco,2:45:00 PM,4:15:00 PM,Cocktail Magic
08/11,Yaya Bey,3:00:00 PM,3:40:00 PM,Panhandle
08/11,Ah-Mer-Ah-Su,3:00:00 PM,4:00:00 PM,Dolores
08/11,Disco Lines,3:35:00 PM,5:05:00 PM,SOMA Tent
08/11,Matt Hansen,3:35:00 PM,4:05:00 PM,The Music Den by Toyota
08/11,Becky Hill,3:45:00 PM,4:35:00 PM,Twin Peaks
08/11,Crumb,3:50:00 PM,4:40:00 PM,Sutro
08/11,Nina Sky,4:00:00 PM,5:00:00 PM,Dolores
08/11,Cuco,4:05:00 PM,4:55:00 PM,Lands End
08/11,Westend,4:35:00 PM,5:15:00 PM,Panhandle
08/11,The Dip,4:55:00 PM,5:25:00 PM,The Music Den by Toyota
08/11,La Favi,5:00:00 PM,5:30:00 PM,Dolores
08/11,Justin Jay,5:05:00 PM,6:35:00 PM,SOMA Tent
08/11,Alex G,5:10:00 PM,6:00:00 PM,Sutro
08/11,Diesel (Shaquille O'Neal),5:20:00 PM,6:10:00 PM,Twin Peaks
08/11,J.I.D.,5:25:00 PM,6:25:00 PM,Lands End
08/11,MS NINA,5:30:00 PM,6:00:00 PM,Dolores
08/11,Invisibl Skratch Piklz & Friends,5:55:00 PM,6:55:00 PM,Cocktail Magic
08/11,Discnogirl,6:00:00 PM,7:00:00 PM,Dolores
08/11,Samia,6:10:00 PM,6:50:00 PM,Panhandle
